SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,AMT_CREDIT_SUM
102048,0,90000,29385
102053,1,157500,45000
102069,0,65250,88029
102073,1,247500,39870
102074,0,225000,172570.5
102083,1,157500,0
102089,0,144000,405000
102091,0,216000,27972
102093,0,157500,53495.96
102094,0,292500,1990440
102098,0,180000,292500
102107,0,225000,85005
102109,0,148500,0
102116,0,405000,215766
102118,0,180000,540000
102119,0,108000,127498.5
102130,0,157500,112500
102131,0,171000,244840.5
102132,0,157500,112500
102138,0,135000,607500
102143,0,396000,8022416
102144,0,135000,343323
102145,0,153000,81000
102157,0,189000,84150
102160,0,81000,14994
102167,0,112500,35176.86
102169,0,112500,32310
102170,0,157500,40495.5
102171,0,126000,6750000
102175,0,103500,315000
102200,0,369000,108373.5
102211,0,112500,56529
102212,0,180000,418500
102216,0,222750,540000
102223,0,157500,731542.5
102225,1,180000,225000
102229,0,135000,113674.5
102239,0,270000,0
102246,0,135000,25267.5
102251,0,135000,274500
102263,0,157500,108994.5
102266,0,180000,157500
102267,0,157500,225000
102268,0,90000,148266
102271,0,211500,132887.6
102274,0,270000,125505
102291,0,247500,225000
102297,0,675000,1575000
102305,0,157500,124497
102311,0,270000,0
102317,0,360000,100408.1
102319,0,135000,37788.71
102320,0,165150,225000
102321,0,99000,32166
102329,0,225000,1260000
102334,1,229500,93024.32
102343,0,180000,760050
102349,0,234000,675000
102358,0,171000,270000
102360,0,128250,77791.5
102361,0,112500,344747.2
102368,0,126000,29308.5
102376,1,135000,45000
102378,0,180000,71433
102383,0,108000,69322.5
102396,0,225000,369000
102408,0,112500,225000
102410,0,315000,61924.5
102417,0,225000,199800
102421,0,135000,0
102424,0,90000,47439
102433,0,90000,61158.42
102440,0,135000,1350000
102451,1,382500,450000
102457,0,247500,46117.17
102468,0,270000,81898.11
102492,0,112500,24406.29
102493,0,166500,20610
102501,0,144000,76500
102505,0,180000,146970
102510,0,135000,745128
102514,0,112500,48802.5
102516,0,121500,450000
102532,0,391500,292500
102538,0,157500,7200
102547,0,270000,1350000
102551,0,135000,96880.5
102552,0,270000,143909
102570,0,112500,67500
102574,1,81000,40365
102586,1,135000,42709.5
102587,0,270000,0
102590,0,148500,270000
102591,0,99000,57874.5
102596,0,225000,30654
102598,0,157500,50355
102600,0,315000,61689.6
102624,1,112500,99000
102627,0,351000,742500
102632,0,112500,450000
102633,0,112500,55459.98
102636,0,270000,405000
102641,0,405000,427500
102645,0,292500,927000
102646,0,180000,8505000
102647,0,63000,182344.5
102650,0,135000,270000
102653,0,135000,1341000
102654,0,180000,2467841
102660,0,157500,35856
102673,1,270000,26469
102675,0,270000,83614.5
102679,1,180000,0
102683,0,157500,450000
102684,0,180000,60750
102688,1,139500,184500
102689,0,247500,31500
102690,0,58500,90000
102693,0,171000,181440
102702,0,292500,202500
102708,0,292500,769500
102717,0,225000,13500
102727,0,270000,0
102728,0,270000,1980000
102742,0,270000,40644
102751,0,67500,742500
102752,1,135000,261000
102758,0,292500,90022.5
102771,0,121500,48937.5
102774,0,103500,20578.5
102786,0,157500,63760.32
102793,0,202500,30375
102796,1,76500,115943.9
102800,0,90000,56205
102801,0,450000,270000
102805,0,270000,26905.5
102807,0,157500,1035000
102810,0,112500,105561
102813,0,157500,137340
102814,0,315000,59940
102818,0,211500,0
102822,0,207000,0
102823,0,450000,13500
102825,0,90000,450000
102833,0,117000,58882.5
102834,0,247500,116280
102842,0,225000,128925
102849,0,99000,450000
102856,0,135000,0
102859,0,180000,1125000
102872,0,112500,18000
102873,0,112500,270000
102877,0,135000,67815
102889,0,202500,66889.22
102890,0,157500,102735
102892,0,157500,90000
102893,0,180000,180000
102900,0,360000,5638500
102901,0,202500,0
102906,0,180000,17541
102907,0,112500,84771
102925,1,112500,0
102934,0,225000,103045.5
102938,0,112500,225000
102941,1,90000,900000
102942,1,112500,187852.5
102948,0,202500,517500
102950,0,234000,37268.28
102961,0,72000,110880
102974,0,67500,45000
102976,0,90000,42132.15
102986,0,175500,0
102993,0,157500,157500
103002,0,225000,95323.5
103003,0,270000,94952.29
103006,0,216000,49500
103007,0,85500,127971
103013,0,247500,225000
103024,0,225000,0
103031,0,180000,630000
103033,0,225000,5670000
103043,0,144000,1233000
103045,0,202500,243000
103049,0,180000,81000
103061,0,135000,0
103066,0,315000,56700
103069,0,180000,218650.5
103072,0,90000,67500
103074,0,337500,661500
103077,0,157500,112455
103090,0,135000,405000
103091,0,99000,69947.82
103099,0,202500,347080.5
103110,0,270000,0
103119,0,225000,135000
103127,0,135000,54634.5
103151,0,202500,64048.5
103153,0,157500,59130
103155,0,76500,1719000
103160,0,121500,25191
103161,0,337500,27162
103166,1,202500,1530000
103167,0,405000,90000
103168,0,382500,15250.5
103178,0,99000,111219
103185,0,202500,225000
103188,0,103500,35041.05
103190,0,315000,135000
103201,0,180000,188910
103207,1,112500,0
103216,0,135000,73147.5
103226,0,225000,675000
103237,0,202500,175567.5
103241,0,103500,18427.5
103242,0,202500,0
103250,0,262503,112752
103255,0,112500,13536
103268,0,202500,373500
103269,0,247500,180000
103278,0,162000,65790
103283,0,202500,433962
103297,0,202500,1350000
103306,0,121500,225000
103308,0,135000,202500
103318,0,540000,126706.5
103325,1,112500,22005
103326,0,180000,168561
103338,0,292500,4410000
103340,0,135000,249300
103341,0,135000,55228.5
103343,0,180000,225000
103349,0,180000,197317.2
103350,0,315000,122013
103376,0,112500,22122.85
103390,1,292500,224403.1
103391,0,135000,67500
103405,1,90000,22500
103406,0,405000,117450
103411,0,202500,22050
103416,0,99000,144000
103426,0,301500,1197000
103430,0,135000,387913.5
103445,0,202500,0
103446,0,247500,22500
103449,0,247500,2367000
103456,0,306000,0
103457,0,252000,50908.5
103464,0,135000,288000
103467,0,247500,65788.2
103471,0,180000,36612
103476,0,585000,174915
103479,0,90000,0
103486,1,166500,5346000
103487,0,54000,67500
103489,0,144000,301500
103493,0,225000,1594125
103501,0,112500,58500
103506,0,184500,1377000
103508,0,112500,107892
103509,0,135000,715500
103522,0,112500,62320.5
103529,0,112500,59800.5
103539,0,157500,59796
103547,0,225000,1222848
103549,0,202500,69574.5
103551,0,211500,0
103554,0,112500,195867
103583,0,270000,0
103584,0,675000,150822
103588,0,157500,234652.5
103593,1,180000,179572.6
103596,0,85500,25613.82
103597,0,306000,6750000
103598,0,157500,233100
103604,0,180000,254700
103620,0,225000,675000
103627,0,90000,90000
103631,0,166500,29736
103633,0,202500,35865
103635,1,83304,22500
103636,0,675000,734400
103638,1,103500,18445.5
103641,0,90000,58180.5
103642,0,247500,74790
103645,0,292500,2374560
103652,0,112500,68913
103654,0,202500,1181160
103657,0,225000,166500
103659,0,300379.5,1587358
103661,0,112500,180000
103665,0,202500,556020
103677,0,202500,41401.89
103687,0,247500,0
103694,0,247500,76405.5
103710,0,450000,18751.5
103713,0,126000,86535.09
103715,0,135000,75348
103716,0,292500,199548.2
103717,0,292500,62100
103719,0,189000,250555.5
103721,0,157500,101250
103722,0,247500,63094.5
103752,0,405000,202459.5
103758,0,112500,90000
103759,1,184500,478215
103761,0,94500,40500
103770,0,270000,0
103774,0,360000,697500
103781,0,225000,99000
103785,0,112500,30600
103786,0,202500,202500
103789,0,202500,1417500
103795,0,135000,1392417
103799,1,202500,44775
103805,0,225000,287190
103806,0,270000,152991
103811,0,186750,877500
103815,0,47250,164677.5
103819,0,180000,56002.5
103821,1,180000,136993.5
103822,0,292500,202500
103823,0,247500,450000
103825,0,315000,28722.69
103833,0,180000,135000
103835,0,56250,46215
103839,0,135000,0
103846,0,144000,27561.15
103856,0,225000,48070.35
103864,0,360000,900000
103867,0,108000,9000
103872,0,94500,180000
103878,0,171000,4500
103880,0,270000,74375.24
103882,0,94500,44275.5
103890,0,180000,157500
103893,0,450000,106411.5
103896,0,225000,35955
103899,0,135000,468000
103901,0,270000,118884.8
103902,0,135000,43630.11
103907,0,225000,159386.1
103913,0,382500,22500
103915,0,171000,0
103921,0,126000,225000
103937,0,90000,31684.5
103945,0,157500,19694.25
103951,0,270000,103702.5
103954,0,270000,27810
103955,0,225000,328500
103958,0,292500,51515.64
103959,0,94500,225000
103965,0,225000,225000
103972,0,135000,22500
103974,0,540000,1845000
103975,0,72000,90000
103990,0,157500,50824.8
103999,0,157500,49770
104011,0,135000,2250000
104013,0,117000,279000
104014,0,261000,54180
104020,0,225000,67500
104022,0,112500,100764.9
104023,0,270000,810000
104032,0,112500,24133.5
104038,0,391500,100705.5
104046,0,225000,93109.5
104048,0,157500,36313.2
104053,1,225000,21145.5
104054,0,99000,45000
104067,0,135000,225000
104071,0,121500,67500
104077,0,360000,73732.91
104080,0,90000,214812
104097,0,157500,76590
104100,0,112500,225000
104102,0,67500,131949
104108,0,90000,17129.07
104125,0,121500,26946
104126,0,202500,450000
104128,0,189000,484452
104129,0,270000,171000
104133,0,112500,83106
104141,0,787500,675000
104142,0,90000,254812.5
104148,0,382500,44093.34
104151,0,135000,35427.24
104158,0,135000,27157.5
104159,0,270000,58682.88
104162,0,157500,177660
104180,0,225000,173362.5
104185,0,112500,382500
104210,1,135000,108000
104220,0,315000,63406.8
104223,0,135000,0
104227,0,90000,35955
104234,0,270000,135000
104241,0,234000,180000
104249,0,157500,80955
104250,0,112500,33648.84
104261,0,108000,450000
104262,1,157500,282663.3
104263,0,108000,326340
104268,0,220500,1575000
104269,0,270000,1327500
104274,0,135000,225000
104277,0,315000,1350000
104283,0,180000,462712.5
104289,0,225000,36000
104296,0,135000,37858.5
104305,0,90000,123750
104312,0,90000,0
104323,0,90000,37728
104331,0,202500,6750
104332,0,382500,225000
104335,0,160200,133618.5
104343,1,162000,60302.88
104349,0,180000,324000
104356,0,117000,0
104377,0,157500,135000
104389,0,202500,517500
104393,0,180000,157500
104405,0,139500,22590
104414,0,157500,67500
104416,0,225000,436500
104432,0,112500,24124.5
104463,0,157500,24501.15
104467,0,405000,333000
104468,0,76500,24022.22
104469,0,63000,450000
104476,0,270000,594900
104483,0,180000,152725.5
104484,1,157500,53824.5
104497,0,90000,183285
104503,0,112500,179910
104511,0,112500,17775
104516,1,90000,66190.5
104523,0,180000,172800
104530,0,112500,1449000
104533,0,112500,69939
104545,0,225000,25762.5
104553,0,90000,20025
104555,0,360000,450000
104569,0,135000,120055.5
104571,0,157500,41625
104572,0,180000,22500
104574,0,157500,315000
104579,0,225000,111742.1
104596,0,270000,630000
104603,0,202500,140573.7
104605,0,121500,67500
104607,0,202500,648000
104609,0,90000,80777.25
104615,0,72000,148500
104617,0,360000,225000
104619,0,135000,37570.5
104626,0,270000,22500
104627,0,157500,0
104629,0,360000,43659
104657,0,270000,1800000
104662,0,135000,65970
104665,0,180000,89118
104667,0,180000,108216
104680,0,67500,251550
104682,0,225000,225000
104684,0,157500,135000
104694,0,117000,630000
104697,0,180000,18000
104700,0,180000,33232.5
104706,0,247500,704700
104724,0,148500,26194.5
104726,0,112500,270000
104730,0,135000,75600
104734,0,135000,144135
104739,1,216000,0
104746,0,117000,145921.5
104753,1,180000,0
104756,0,121500,65700
104757,0,90000,0
104773,0,180000,99000
104774,0,382500,0
104783,0,337500,225000
104788,0,337500,129235.5
104791,0,180000,204025.5
104793,0,112500,495000
104796,0,54000,112500
104818,0,121500,20839.5
104823,0,112500,0
104848,0,426019.5,829917
104849,0,180000,48150
104851,0,202500,273600
104852,1,180000,83065.27
104855,0,202500,675000
104882,0,202500,0
104887,0,225000,80694
104888,1,180000,23364.22
104902,0,306000,181586.8
104918,1,58500,450000
104932,0,117000,225000
104933,0,315000,675000
104938,0,76500,62869.5
104941,0,202500,135000
104944,1,225000,360000
104951,0,157500,55462.5
104952,0,292500,90000
104962,0,90000,48614.85
104963,0,270000,288000
104965,0,216000,135000
104980,1,202500,49500
104981,0,135000,103500
104984,0,225000,900000
104996,0,360000,3915000
105000,0,225000,94284
105008,0,157500,0
105022,0,85500,13500
105024,0,135000,63000
105026,0,216000,0
105028,0,90000,101250
105049,0,225000,112500
105053,0,90000,157500
105055,0,247500,270000
105066,0,112500,90000
105073,0,90000,139860
105075,0,112500,225000
105077,0,135000,37755
105079,0,315000,592290
105082,0,103500,148500
105095,0,202500,1642500
105098,0,315000,84888
105112,0,225000,22500
105113,1,252000,29961
105114,0,117000,99000
105118,0,270000,2925000
105128,0,112500,60867
105131,0,270000,2126813
105133,0,144000,311890.5
105135,0,135000,48555
105136,0,112500,26739
105140,1,202500,202500
105141,0,292500,900000
105159,0,157500,82134
105173,0,225000,595305
105180,0,90000,224118
105181,1,135000,450000
105182,0,166500,607500
105184,0,112500,45000
105192,0,270000,45000
105200,1,157500,146870.5
105206,0,180000,45000
105214,0,292500,1470587
105215,0,112500,96750
105219,0,90000,183897
105224,0,315000,45000
105232,0,247500,0
105233,0,225000,39100.5
105234,0,117000,26316
105235,0,202500,85500
105247,1,90000,13500
105251,0,225000,36130.5
105256,0,315000,459000
105264,0,112500,380700
105283,0,292500,93222
105286,0,450000,472500
105288,0,225000,450000
105289,0,112500,60789.96
105291,0,99000,43515
105300,0,135000,195933.6
105307,0,225000,151506
105312,0,135000,121500
105318,0,112500,67500
105321,0,67500,28800
105323,0,157500,130788
105325,0,247500,107910
105336,0,90000,84798
105338,0,270000,225000
105348,0,157500,642915
105350,0,270000,644287.5
105351,0,180000,30748.19
105352,0,85500,14553.9
105360,0,157500,99340.42
105368,0,135000,180000
105373,0,157500,909132.2
105374,0,270000,0
105376,0,162000,64111.32
105379,1,189000,110250
105383,1,202500,20448
105401,0,270000,337500
105405,0,166500,900000
105410,1,157500,180000
105413,0,180000,233010
105415,0,315000,122130
105420,0,135000,37890
105421,0,157500,80505
105422,0,90000,199587.5
105431,0,450000,2025000
105433,0,135000,98787.96
105442,0,450000,900000
105457,0,135000,89760.06
105459,0,180000,225000
105460,0,135000,61123.5
105461,0,99000,67500
105480,0,99000,45000
105482,0,445500,112500
105486,0,450000,675000
105495,0,135000,24182.01
105510,0,76500,229500
105524,0,157500,450000
105534,0,180000,55224
105544,1,76500,102721.5
105553,0,450000,472500
105572,0,292500,157095
105589,0,135000,240750
105597,0,94500,73307.25
105600,0,270000,243243
105603,0,112500,0
105609,0,225000,459000
105612,0,202500,106042.5
105613,0,202500,162000
105644,0,207000,67500
105661,0,270000,180000
105671,0,247500,0
105700,0,270000,33295.5
105714,1,225000,540000
105717,0,135000,1754010
105723,0,225000,135909
105725,0,99000,186750
105726,0,270000,2250000
105730,0,90000,675000
105743,0,90000,118273.5
105748,0,90000,130500
105750,0,202500,93109.5
105752,0,157500,540000
105755,0,126000,20511
105762,0,135000,14850
105799,0,135000,481500
105801,0,292500,954405
105806,0,67500,109239.5
105814,0,112500,45000
105815,0,243000,200434.5
105820,0,139500,360000
105833,0,225000,296730
105838,0,135000,270000
105839,0,270000,74250
105845,0,157500,35100
105846,0,225000,1575000
105851,0,247500,337500
105854,0,90000,168750
105878,0,193500,93109.5
105888,0,315000,229950
105889,1,112500,34364.79
105901,0,112500,477652.5
105904,0,315000,158292
105913,0,112500,328864.5
105927,0,135000,49500
105931,0,180000,43857
105935,0,270000,315000
105939,0,112500,0
105941,0,157500,73017
105956,0,225000,0
105958,1,157500,3159000
105971,0,90000,125959.5
105981,0,270000,333000
105988,0,135000,270000
105995,0,157500,30192.48
105996,0,135000,67500
105997,1,94500,630000
106006,0,157500,0
106022,1,247500,345816
106033,0,337500,0
106037,0,202500,180000
106038,0,202500,45459
106043,0,135000,216000
106049,0,153000,0
106059,0,135000,270000
106061,0,112500,45000
106064,0,315000,0
106082,0,112500,12190.5
106084,0,180000,77220
106091,0,405000,165089
106096,0,157500,18414
106097,0,99000,67500
106106,0,225000,675000
106110,0,63000,54000
106111,0,405000,450000
106124,0,90000,24371.64
106126,0,382500,202500
106131,0,202500,675004.5
106133,0,90000,103617
106139,0,135000,0
106140,0,94500,225000
106142,0,135000,22500
106148,0,157500,80055
106149,0,112500,180000
106169,0,148500,39690
106178,0,112500,315000
106179,0,292500,66150
106180,0,135000,315000
106183,0,225000,1416263
106196,0,157500,225000
106197,0,130500,225000
106228,0,202500,80909.82
106242,0,90000,4500
106243,0,211500,70051.5
106247,0,157500,49801.5
106259,0,135000,225000
106263,0,225000,84955.5
106272,0,157500,92430
106305,0,225000,157500
106306,0,112500,172193.9
106307,0,202500,46320.39
106315,0,292500,747000
106319,0,225000,900000
106324,0,337500,445500
106331,0,202500,118845
106343,1,121500,18000
106357,0,360000,1800000
106371,0,112500,360000
106375,0,315000,348750
106381,1,135000,20317.5
106383,0,337500,27220.5
106389,0,225000,23308.29
106394,0,216000,969750
106409,0,135000,107707.5
106412,0,135000,0
106418,0,67500,225000
106419,0,157500,24705
106422,0,112500,42882.3
106423,0,247500,290628
106430,1,360000,315000
106436,0,130500,68219.1
106437,1,391500,485266.5
106442,0,225000,1406849
106447,0,315000,337500
106450,0,99000,33606
106458,0,90000,80625.6
106463,0,270000,157059
106471,0,225000,0
106472,0,90000,472500
106476,0,135000,1417500
106480,0,112500,154827
106492,1,112500,36687.06
106494,0,270000,157230
106509,0,225000,180000
106520,0,112500,58500
106526,0,225000,1393799
106539,0,180000,900000
106541,0,225000,46570.5
106544,1,180000,531000
106548,0,180000,0
106554,0,540000,700209
106555,0,135000,13500
106562,0,315000,71854.2
106568,0,135000,47344.5
106569,0,180000,50112
106571,0,121500,50400
106574,1,171000,73978.2
106575,0,180000,21780
106576,0,90000,180000
106583,0,36000,67500
106592,0,270000,13500
106595,0,175500,8010000
106597,0,126000,17829
106598,0,94500,56659.5
106602,0,252000,324000
106604,0,540000,450000
106606,0,90000,234900
106616,0,90000,833850
106618,0,315000,180000
106620,0,135000,87794.01
106622,0,157500,792540
106626,0,135000,211500
106632,0,90000,35460
106634,0,270000,67429.8
106642,0,202500,166414.5
106643,0,157500,225000
106644,0,121500,27765
106645,0,112500,83025
106651,0,112500,67500
106654,0,112500,22500
106655,0,180000,202500
106657,0,288000,144000
106659,1,450000,194865.4
106667,0,360000,53901.05
106668,0,157500,57555
106672,0,405000,366930
106673,0,112500,74321.1
106681,0,225000,171009
106682,0,112500,58284
106684,0,405000,119695.5
106688,0,315000,1350000
106693,0,180000,125995.5
106694,0,202500,39204
106705,0,135000,67500
106711,0,225000,81831.78
106716,0,81000,51313.5
106718,0,225000,58500
106722,0,157500,13500
106723,1,180000,270000
106730,0,112500,67500
106732,0,450000,2250000
106733,0,135000,75276
106734,1,247500,185458.5
106737,0,180000,472500
106747,0,135000,37759.5
106748,0,112500,427176
106753,0,450000,427500
106756,0,112500,54675
106763,0,180000,114750
106769,0,135000,22500
106772,0,270000,32761.35
106773,1,112500,450000
106777,0,90000,152550
106778,0,112500,135000
106779,0,351000,57465
106786,0,202500,900000
106806,1,135000,22500
106807,0,180000,23165.64
106808,0,180000,94041
106809,0,270000,67500
106814,0,157500,76500
106820,0,351000,23103
106825,0,166500,675000
106832,0,283500,1800000
106837,0,315000,0
106846,0,90000,67500
106855,0,117000,202500
106866,0,225000,0
106871,0,270000,180000
106872,0,229500,264150
106876,0,180000,67113
106883,0,157500,0
106890,0,99000,55786.5
106896,0,85500,135000
106901,0,81000,141142.5
106902,0,157500,20533.68
106903,0,157500,153481.5
106904,0,157500,90000
106908,0,135000,324000
106910,0,175500,540000
106917,0,99000,161676
106919,0,112500,22117.5
106920,0,135000,391500
106923,0,324000,67500
106933,1,144000,139500
106954,0,247500,35919
106961,0,180000,36756
106962,0,427500,38596.5
106973,0,225000,7087500
106991,0,157500,171693
106992,0,76500,864000
106997,0,261000,79150.5
106998,0,315000,382500
107002,0,202500,30163.5
107011,1,148500,91404.72
107012,0,157500,777024
107024,0,405000,820800
107030,0,135000,30172.5
107034,0,292500,315000
107052,1,121500,360000
107059,0,225000,34380
107061,0,135000,23530.5
107065,0,121500,86179.5
107066,0,121500,567000
107067,0,292500,450000
107078,0,85500,67500
107079,0,247500,65146.5
107086,0,180000,166187.3
107087,0,202500,126351
107092,0,112500,23400
107099,0,540000,486000
107101,0,360000,23175
